scenario,max_flow_depth,inundated_pixels,max_eta,is_train,log_max_eta,square_max_eta
2_PS_2798/2436_E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02305N3524_S003,2.5657244,12200,1.1899536,FALSE,0.075530015,1.41598957
10_PS_2803/0934_E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02483N3431_S004,3.1145163,18356,0.9939346,FALSE,-0.002642203,0.987905989
9_PS_2798/2000_E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02456N3506_S003,1.9379512,7996,0.47143063,FALSE,-0.3265822,0.222246839
9_PS_2798/1869_E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02313N3510_S004,6.034995,116642,1.7594991,FALSE,0.24538904,3.095837083
2_PS_2798/1451_E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02260N3540_S002,4.086541,35234,1.6695732,FALSE,0.22260547,2.78747467
5_PS_2798/0167_E01577N3897E01966N3571-PS-Mur_PYes_Var-M792_E01840N3808_S000,2.5926394,14088,0.84560823,FALSE,-0.072830796,0.715053279
PS_2798/1151_E02113N3823E02873N3483-PS-Mur_PYes_Var-M792_E02348N3529_S000,0.47454876,2219,0.12220884,FALSE,-0.91289735,0.014935001
8_PS_2798/2231_E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02120N3675_S001,4.2882705,48033,1.6874496,FALSE,0.2272308,2.847486153
7_PS_2798/0438_E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02188N3566_S002,3.4214823,19817,1.3348973,FALSE,0.12544785,1.781950802
3_PS_2798/0751_E01964N3926E02184N3685-PS-Str_PYes_Hom-M774_E02057N3724_S000,1.1291623,4837,0.24204567,FALSE,-0.6161027,0.058586106
10_PS_2803/0010_E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02359N3451_S002,3.714099,37066,1.0631404,FALSE,0.02659062,1.13026751
4_PS_2798/1592_E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02223N3573_S003,4.5207443,39742,1.9254692,FALSE,0.28453657,3.70743164
10_PS_2803/1539_E01849N3766E02950N3220-PS-Str_PYes_Var-M732_E01971N3734_S000,0.855551,3911,0.21707682,FALSE,-0.6633865,0.047122346
8_PS_2798/2546_E01548N3896E01854N3659-PS-Str_PYes_Var-M824_E01640N3732_S000,3.5597756,24519,1.6114929,FALSE,0.20722839,2.596909367
7_PS_2798/1369_E01548N3896E01854N3659-PS-Mur_PYes_Var-M850_E01684N3791_S000,4.540873,61319,1.898812,FALSE,0.278482,3.605487011
6_PS_2798/0368_E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02061N3684_S002,4.316566,52721,1.3461483,FALSE,0.12909289,1.812115246
8_PS_2798/1638_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02090N3619_S004,3.1096237,20129,1.497315,FALSE,0.17531319,2.241952209
2_PS_2798/1409_E01849N3766E02950N3220-PS-Str_PYes_Var-M824_E02096N3527_S000,1.972372,10164,0.716997,FALSE,-0.14448264,0.514084698
