ID,mean_prob
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S247D50R090_A003139_S050,4.9868589477347965e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S202D30R090_A003524_S022,4.4331579981357494e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S112D50R090_A003139_S050,5.071728041363983e-08
E01470N3877E01631N3641-BS-M774_E01538N3782_D010_S157D50R090_A005608_S028,3.632087300716899e-08
E01470N3877E01631N3641-BS-M707_E01534N3760_D010_S112D50R090_A001194_S013,8.209819178280261e-08
E01470N3877E01631N3641-BS-M754_E01583N3715_D010_S247D50R090_A003524_S022,4.6948802951178344e-08
E01108N3882E01527N3690-BS-M809_E01414N3715_D010_S247D30R090_A012497_S042,3.715564199039658e-08
E01267N3753E01646N3535-BS-M707_E01530N3737_D010_S202D50R090_A000668_S023,3.34496989067395e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S247D50R270_A001972_S039,3.8274320548106165e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D115_S292D50R090_A002108_S017,5.62525633733738e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S112D30R090_A003139_S050,3.6921805364576274e-08
E01267N3753E01646N3535-BS-M707_E01530N3737_D010_S022D50R090_A000668_S023,3.404277896008885e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S292D30R090_A002108_S017,3.74222164458974e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S157D30R090_A002108_S017,4.2280647794141434e-08
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S022D50R090_A003524_S022,3.985502458998873e-08
E01267N3753E01646N3535-BS-M680_E01530N3737_D010_S202D50R090_A000357_S016,4.164773894023989e-08
E01267N3753E01646N3535-BS-M680_E01530N3737_D010_S337D50R090_A000357_S016,4.0679823088894206e-08
E01267N3753E01646N3535-BS-M754_E01527N3715_D010_S202D50R270_A001972_S039,3.318668622617849e-08
E01470N3877E01631N3641-BS-M774_E01538N3782_D010_S337D50R090_A005608_S028,3.3762285886802e-08
E01267N3753E01646N3535-BS-M754_E01523N3692_D091_S022D50R090_A001972_S039,4.3414368423796166e-08
E01267N3753E01646N3535-BS-M732_E01502N3737_D010_S292D50R090_A001180_S030,3.87272666679168e-08
E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S247D50R090_A001180_S030,4.216509661851859e-08
E01267N3753E01646N3535-BS-M732_E01502N3737_D010_S067D50R270_A001180_S030,3.80983073496876e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S292D50R090_A003139_S050,4.9920011430095014e-08
E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S112D50R090_A005608_S028,3.265964097416409e-08
E01267N3753E01646N3535-BS-M754_E01527N3715_D091_S157D50R090_A001972_S039,3.0918093124392545e-08
E01267N3753E01646N3535-BS-M707_E01530N3737_D010_S337D50R090_A000668_S023,3.301364466749389e-08
E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S292D50R090_A005608_S028,3.281112015526478e-08
E01267N3753E01646N3535-BS-M680_E01530N3737_D010_S022D50R090_A000357_S016,4.21398235153629e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D172_S292D50R090_A001972_S039,3.97168176417527e-08
E01889N4173E02097N3847-BS-M774_E01996N3917_D010_S292D30R090_A005608_S028,8.034664799228683e-07
E01267N3753E01646N3535-BS-M732_E01498N3715_D076_S067D50R090_A001180_S030,3.28401093230258e-06
