eid,s0
415,2.6442274708489364e-08
416,4.690443687506949e-05
417,1.6497710345515073e-05
418,9.544118670096828e-08
419,1.549495764483068e-07
420,1.89608555598514e-07
421,5.891463988469965e-08
422,8.437511161935383e-08
423,1.0708235588405397e-07
424,2.359044330519348e-07
425,1.999804195999613e-07
426,1.5246887935171452e-07
427,1.4803858287518608e-07
428,7.869924211928337e-08
429,4.588621194770914e-06
430,3.385129608814912e-09
431,9.484586616278757e-08
432,5.703590525364531e-09
433,3.257147745016844e-08
434,3.9963845395743453e-07
435,2.20162474609149e-07
436,2.0998401804210185e-07
437,3.3034918727926375e-08
438,8.212143585767029e-08
439,3.18930147798748e-06
440,4.289401568504785e-07
441,5.687423509112939e-07
442,6.511485493404409e-07
443,1.1111519748430257e-07
444,3.0384501828175096e-08
445,4.972713043954258e-07
446,2.6004516095434376e-08
447,2.8633984520831604e-08
448,7.087354969959528e-09
449,9.275339211515912e-06
450,1.63741283792246e-08
451,2.8122863124311772e-08
452,2.142662168522217e-07
453,1.549648251003669e-07
454,7.869924211928337e-08
455,1.0347404387143648e-05
456,3.14149315722536e-08
457,3.680723485474117e-07
458,2.8567909288144868e-08
459,1.3497359040376438e-08
460,1.896976374036852e-08
461,2.8359769654403444e-08
462,3.122555326804168e-08
463,1.491083947120097e-05
464,2.72171277762109e-08
465,1.9960898933609098e-07
466,2.5540877437013898e-08
467,4.334829568654834e-07
468,2.0143356993709412e-08
469,2.0090193600180104e-07
470,1.2463767851766264e-05
471,9.387291809376457e-08
472,3.013656652392474e-07
473,5.327547868117103e-07
474,6.845898428336943e-09
475,2.1528441453668725e-07
476,6.857413177439855e-07
477,9.407058190442734e-08
478,2.022257184127344e-08
479,2.156392769635746e-07
480,3.544191378893039e-05
481,3.906423375586867e-06
482,7.241760635223368e-07
483,6.845958278485367e-09
484,3.6960892313632585e-08
485,1.5134440098082493e-07
486,3.378563097279403e-08
487,4.306476576277226e-07
488,1.960926669169365e-08
489,8.64683450491354e-07
490,4.613487071060867e-07
491,2.059664801939903e-07
492,5.661887342014086e-06
493,2.9723987277350067e-08
494,3.168041906674327e-08
495,2.5033697847077923e-08
496,1.6814629826716785e-07
497,4.664038230818656e-07
498,2.723250574267039e-09
499,4.413428806623965e-06
500,5.327547868117103e-07
501,1.8397864958253207e-06
502,3.035958906699568e-08
503,3.14149315722536e-08
504,1.705624666897686e-05
505,7.298821006814668e-08
506,7.131031358990835e-09
507,2.85207089233872e-08
508,6.215060056610267e-06
509,1.3005132366797328e-08
