eid,p84
965,7.053602266020446e-08
966,1.4975135570511175e-09
967,4.141657590356659e-08
968,2.879336362193825e-07
969,5.01799098e-08
970,4.5925555600240666e-07
971,1.0814513763192e-07
972,2.822138785182051e-07
973,1.52832e-08
974,3.5990527843291844e-09
975,4.755161614729296e-08
976,4.38743362831665e-08
977,1.40854368932073e-05
978,0.0
979,4.911011121890808e-07
980,5.07919544e-08
981,5.79023853209371e-06
982,4.52599313642772e-08
983,2.695388872967316e-09
984,2.378886921956744e-05
985,4.946986335330959e-06
986,1.5284821428569e-05
987,3.220228869896808e-07
988,7.07374134890901e-08
989,1.3667279021851548e-08
990,9.56685552407358e-07
991,2.8694158075614e-08
992,1.3114185696753138e-07
993,1.22291076037115e-05
994,9.96598206079492e-08
995,2.8694158075614e-08
996,4.68640226e-08
997,1.40854368932073e-05
998,3.136845146442009e-08
999,5.909121319999947e-08
1000,8.551424430222883e-09
1001,4.98390242e-08
1002,9.274868686859414e-09
1003,5.26900674e-08
1004,0.0
1005,2.3490888959999997e-09
1006,6.457612801686791e-06
1007,2.976188305343106e-07
1008,2.2503693881268673e-06
1009,5.030268800292511e-07
1010,2.5067623983999995e-09
1011,4.82768269050984e-08
1012,1.4606112820516738e-07
1013,7.101457159420968e-08
1014,4.960226810464389e-07
1015,4.19732140818082e-07
1016,7.0042646606466e-08
1017,2.1924187212910962e-07
1018,1.47414148185981e-07
1019,5.20465692991911e-06
1020,1.4983023529420756e-05
1021,1.8455434903026611e-06
1022,5.02651312e-08
1023,7.1774447876449e-08
1024,3.685123238079673e-07
1025,4.1361026582564555e-08
1026,5.01101832e-08
1027,4.98235294e-08
1028,0.0
1029,5.03526614629629e-08
1030,4.52599313642772e-08
1031,5.86657127525696e-05
1032,2.324652454417703e-07
1033,5.766182149247528e-07
1034,9.00651578408426e-07
1035,4.2373953912915654e-08
1036,1.95340206185653e-08
1037,8.228293287442753e-07
1038,1.4823044212020014e-09
1039,3.6903077937217e-08
1040,1.25596796265026e-05
1041,7.215620157904135e-09
1042,8.868726596598242e-06
1043,3.92184466019512e-08
1044,8.07903682719062e-07
1045,4.570966e-08
1046,4.886920413042837e-08
1047,1.46511194288936e-07
1048,4.930235136543412e-06
1049,4.38743362831665e-08
1050,7.143537684514372e-05
1051,2.694886856967316e-09
1052,9.274868686859414e-09
1053,9.175222370356639e-09
1054,3.801640490647291e-08
1055,4.4484754332483347e-08
1056,7.079025764149723e-08
1057,9.92307692308248e-07
1058,5.29767212e-08
1059,1.8798410256420732e-07
1060,2.45894444444641e-07
1061,6.1424e-06
1062,4.884872318900471e-08
1063,4.727068099624766e-08
1064,3.0324124852094526e-08
1065,1.4801822161998e-09
1066,4.7204231773418e-07
1067,6.058883187258538e-06
1068,1.16577314389566e-05
1069,9.044814084773724e-09
1070,4.4907762372483365e-08
1071,4.142344190280136e-08
1072,1.1510137707031134e-06
1073,1.03450326175619e-07
1074,4.65076422e-08
1075,6.254266523079187e-08
1076,4.63062098e-08
1077,6.69027096774628e-07
1078,3.862564936649722e-06
1079,4.98467716e-08
1080,1.1824617012639051e-05
1081,4.1898791428530174e-08
1082,2.9683100266369825e-07
