idx,eve_id,MIH,P05,P16,P50,P84,P95,Pmean
26674,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02311N3485_S003,1.42,0.0,0.0,0.0,5.85841822498733e-07,2.5444297436116867e-06,3.7838005552601055e-07
26677,E01548N3896E01854N3659-PS-Str_PYes_Hom-M792_E01600N3777_S000,0.48,0.0,0.0,1.0549610077624141e-06,7.151839159478867e-06,1.4913271909522558e-05,3.619056681014682e-06
26685,E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02226N3538_S004,1.84,0.0,0.0,0.0,2.773886425539708e-08,1.8630417439121627e-06,2.582545739418942e-07
26686,E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02235N3671_S003,0.71,0.0,0.0,0.0,7.226024674993258e-11,1.550888409410034e-05,3.794811781938239e-06
26688,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02287N3526_S001,1.6,0.0,0.0,0.0,0.0,2.950529568351567e-06,4.136391914468116e-07
26716,E01964N3926E02184N3685-PS-Mur_PYes_Hom-M754_E02033N3761_S000,0.1,6.522606133990694e-06,1.2841185062302737e-05,4.445233624246027e-05,0.00013344587647560398,0.000214199442513375,6.973618358149046e-05
26717,E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02464N3518_S001,0.42,0.0,0.0,0.0,1.7233972367778042e-10,3.675929698511187e-05,9.105653037516187e-06
26732,E02113N3823E02873N3483-PS-Str_PNo_Hom-M880_E02293N3602_S005,0.84,0.0,0.0,0.0,0.0,5.164752457471612e-06,5.31329131342648e-07
26764,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02328N3482_S002,1.4,0.0,0.0,0.0,6.210141011088394e-07,2.693428305160528e-06,3.9999098263347957e-07
26779,E02113N3823E02873N3483-PS-Str_PYes_Var-M850_E02340N3543_S000,0.39,0.0,0.0,7.214599655452737e-06,6.621195172922074e-05,0.00011994478501866998,3.0041815718296972e-05
26780,E01517N3917E01678N3772-PS-Str_PNo_Var-M754_E01587N3805_S000,0.18,3.3247393303719638e-06,6.176434893021465e-06,1.854011315066736e-05,4.647547272101833e-05,9.146325355945338e-05,2.767080467357837e-05
26782,E02020N3739E02658N3366-PS-Str_PNo_Var-M850_E02182N3695_S000,0.4,0.0,1.379952313750428e-17,1.7394124567265066e-06,2.903547485789066e-05,0.00013466080366317492,2.1725838337792306e-05
26786,E01577N3897E01966N3571-PS-Mur_PYes_Var-M824_E01786N3720_S000,1.14,0.0,0.0,0.0,1.0117404985287069e-06,1.850974633426327e-05,7.08163383225162e-06
26832,E01577N3897E01966N3571-PS-Mur_PYes_Var-M837_E01717N3678_S000,0.74,0.0,0.0,0.0,2.056518665333015e-07,3.4252362455121207e-06,5.20936171458429e-06
26856,E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02441N3439_S005,2.48,0.0,0.0,0.0,2.7446798651770574e-08,1.8985891314332584e-06,2.622614298487362e-07
