id	count	max	logsum	mean	sd
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02202N3553_S003	26718	8.51	11.31	3.05	1.5
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02236N3526_S002	43925	11.68	12.04	3.84	2.14
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02105N3701_S000	2644	1.25	7.4	0.62	0.31
E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02359N3451_S001	45397	13.74	12.19	4.32	2.6
E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01644N3837_S000	9375	2.74	9.43	1.33	0.47
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02361N3475_S004	51621	13.74	12.43	4.84	2.79
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02144N3587_S001	48040	11.52	12.19	4.12	1.92
E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02105N3701_S002	10628	4.07	9.66	1.48	0.52
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01697N3782_S002	38726	8.59	11.74	3.24	1.42
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02292N3463_S002	29224	8.11	11.22	2.56	0.99
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02189N3468_S004	17766	7.91	10.75	2.62	1.23
E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01723N3765_S000	17477	5.61	10.62	2.34	1.05
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02229N3514_S001	38074	11.47	11.89	3.84	2.24
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02139N3548_S005	17419	7.23	10.74	2.64	1.3
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02232N3550_S002	37493	9.38	11.87	3.81	2.16
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02129N3665_S002	17378	5.98	10.5	2.08	0.85
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01711N3754_S003	31059	7.86	11.4	2.88	1.32
E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02189N3538_S002	19392	8.42	10.94	2.89	1.45
E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02409N3467_S005	37810	11.46	11.83	3.63	1.96
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02206N3569_S001	33898	13.17	11.75	3.73	2.15
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02159N3618_S000	4264	3.01	8.49	1.14	0.7
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01731N3813_S005	38077	7.53	11.71	3.2	1.39
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01684N3791_S002	41963	10.23	11.92	3.58	1.64
E02020N3739E02658N3366-PS-Str_PYes_Var-M824_E02227N3438_S000	3423	2.44	8.01	0.88	0.5
E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02337N3493_S002	48652	11.76	12.27	4.37	2.31
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02279N3514_S005	42784	7.88	11.84	3.24	0.66
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01731N3813_S003	32830	8.09	11.47	2.91	1.23
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02226N3538_S003	34108	9.13	11.6	3.2	1.67
